siteID,depMEAN_NO2__Plume,depMEAN_VOC__Plume,depMEAN_pm_10__Plu,depMEAN_pm_1__Plum,depMEAN_pm_2_5__Pl,siteID_INT,p_XCOORD,p_YCOORD,pG_tri_raster_val,pG_slope_raster_val,pG_hw_raster_val,pG_hs_raster_val,pG_rr_raster_val,pD_parkd_none_dist,pD_waterd_none_dist,pG_park_raster_val,pG_waterd_raster_val,pG_elev_raster_val,pD_soundd_none_dist,pF_trid_none_dist,pE_hwd_none_dist,pE_hsd_none_dist,pE_rrd_none_dist
226,27.0,1.0,3.0,3.0,4.0,226,1148893.1641285568,702489.6469752192,1.0,0.14960214495658875,2.0,6.0,3.0,1049.3972283926164,1957.609768472436,9.0,5.0,109.36199951171875,11420.991283822137,4008.7445308101005,2740.3997968451295,8.314342392834275,4343.44566191129
227,32.0,1.0,3.0,3.0,4.0,227,1144012.8723799735,702613.0942348987,0.0,1.7864974737167358,2.0,6.0,0.0,32.10525633697268,1059.6440727441272,12.0,3.0,102.04768371582031,13390.10257041157,7548.754739493526,780.559596705966,39.46970710775099,7261.161838793172
228,26.0,1.0,3.0,3.0,4.0,228,1148285.8490702212,702507.0865728855,1.0,0.31788110733032227,2.0,6.0,2.0,1041.6368759661268,2421.869093809994,9.0,5.0,111.52375030517578,12024.294345461334,4310.447362449603,2651.6441006447926,2.2661628423590705,4604.450050940362
229,30.0,1.0,3.0,3.0,4.0,229,1149604.6413801312,702474.3589480668,1.0,0.23735681176185608,3.0,6.0,3.0,1304.8013161541053,1547.2835617419476,9.0,4.0,105.0088882446289,10713.402638873376,3755.801796869809,2784.2365873943304,11.357036525474227,4098.65757438624
230,21.0,1.0,21.0,3.0,4.0,230,1146253.4322033077,702558.6248556376,0.0,2.202735662460327,2.0,7.0,0.0,153.6723756474048,636.2179496599338,8.0,6.0,101.3143539428711,13372.662232713305,5683.152617109123,2863.743297702909,15.459710984374382,5728.185875843377
231,27.0,0.0,3.0,3.0,4.0,231,1147566.02242589,702526.2810883075,1.0,0.353870153427124,2.0,6.0,1.0,1092.7286590697631,1918.3684266152193,8.0,5.0,115.8023910522461,12740.008823131036,4743.425495485232,2680.5029387384525,0.5281126774505256,4960.341397683804
232,21.0,1.0,3.0,3.0,4.0,232,1145965.667686969,702566.9817943126,0.0,0.451750248670578,2.0,7.0,0.0,166.5741568117155,374.0157541511678,8.0,5.0,96.84330749511719,13482.006379633734,5909.022842691937,2733.005488223949,15.719494470879368,5913.961505465277
233,24.0,1.0,3.0,3.0,4.0,233,1145584.2996833026,702578.0726513863,0.0,0.3943333327770233,2.0,6.0,0.0,20.168023235948958,170.32753652495342,10.0,4.0,95.53617095947266,13634.920703986172,6216.275428582275,2351.5016218846526,16.736216840290794,6169.111029887935
234,27.0,1.0,3.0,3.0,4.0,234,1143010.0689393878,702643.2792138904,0.0,1.1162532567977905,2.0,6.0,0.0,319.56785085009756,1421.7823601234122,12.0,3.0,106.09286499023438,12402.257655393061,8358.839764819235,51.12155838635823,38.31243258188101,7966.825701920922
235,27.0,1.0,3.0,3.0,4.0,235,1142758.3292853832,702651.4983575642,0.0,2.982008218765259,2.0,7.0,0.0,570.6463005660204,1430.1055244806787,11.0,3.0,105.75341033935547,12154.531917540722,8528.419290229152,135.39065177944534,36.96672290410846,8144.501969206047
236,22.0,1.0,3.0,3.0,4.0,236,1139827.7856058031,702726.1799667329,0.0,0.5503631234169006,2.0,8.0,0.0,1269.8198985789923,1394.4690220487298,11.0,5.0,91.33556365966797,9292.850257532366,10730.0199588673,2303.9431379393814,95.3221944972739,9247.336694289383
237,23.0,1.0,3.0,3.0,4.0,237,1147194.4017780572,702539.6494998932,1.0,0.4934081435203552,2.0,6.0,1.0,786.9008403345501,1557.420568846974,9.0,5.0,117.82018280029297,13045.23289645994,4995.5364142458175,2756.33532686265,0.9018494391704552,5166.65176303952
238,21.0,1.0,3.0,3.0,4.0,238,1153820.8747455478,702374.6301448941,5.0,0.19188296794891357,4.0,5.0,5.0,40.46329218460759,3272.2123450330755,12.0,3.0,116.54430389404297,6506.904357360128,3650.9559735774837,925.1844884411919,925.1844884411919,3436.0779246510933
