EsdCode,EsdName,DistrictCode,SchoolCode,DistrictName,SchoolName,Subject,IndexAll,IndexAmericanIndian,IndexAsian,IndexBlack,IndexHispanic,IndexWhite,IndexPacificIslander,IndexTwoOrMoreRaces,IndexSpecialEd,IndexLtdEnglish,IndexLowIncome,MetTargetAll,MetTargetAmericanIndian,MetTargetAsian,MetTargetBlack,MetTargetHispanic,MetTargetWhite,MetTargetPacificIslander,MetTargetTwoOrMoreRaces,MetTargetSpecialEd,MetTargetLtdEnglish,MetTargetLowIncome
17801,Puget Sound Educational Service District 121,27010,2376,Tacoma School District,Mason,Reading,-27.5,-25,,-40.5,-23.9,-21.3,0,-0.6,-74.6,0,-40.4,No,N<Required,Yes,No,No,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,3453,Tacoma School District,McCarver,Math,-61.2,,-45.4,-65.4,-46.1,,,-70.9,-86.7,-21.2,-62.5,No,N<Required,N<Required,No,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,3453,Tacoma School District,McCarver,Reading,-52.9,,-54.3,-57.3,-40.6,,-50,-20.1,-79.7,-21.2,-53.6,No,N<Required,N<Required,No,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,3244,Tacoma School District,Meeker,Math,-44.8,-60,-12.3,-55.6,,-38.7,-16.3,-34.2,,-51.6,-59.6,No,N<Required,No,No,No,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,3244,Tacoma School District,Meeker,Reading,-29.9,-29.8,-3.6,-42.9,,-22.3,-16.3,-7.9,-61.6,,-42.4,No,N<Required,No,No,No,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,3398,Tacoma School District,Mt Tahoma,Math,,,-78.5,-88.3,,,-76.8,,,-86.3,-91.3,No,N<Required,No,No,No,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,3398,Tacoma School District,Mt Tahoma,Reading,-77.7,-54.8,-59.9,-71.7,-75.8,-78,-63.9,-54.7,,,-75.5,No,N<Required,No,No,No,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2247,Tacoma School District,Northeast Tacoma,Math,-27.7,-39.6,0,-23.9,-22.7,-7.4,,-0.8,-39.6,-42.4,-33.9,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2247,Tacoma School District,Northeast Tacoma,Reading,-28,0,0,-18.5,-22.7,-16.8,-24.5,0,-50.1,-36.2,-27.8,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,4109,Tacoma School District,Oakland High School,Math,,,,-75,,,,,,,,No,N<Required,N<Required,N<Required,N<Required,N<Required,N<Required,N<Required,N<Required,N<Required,No
