"Label (Grouping)","Total:","Total:!!Under .50","Total:!!.50 to .99","Total:!!1.00 to 1.24","Total:!!1.25 to 1.49","Total:!!1.50 to 1.84","Total:!!1.85 to 1.99","Total:!!2.00 and over"
"    Margin of Error","±313","±56","±59","±12","±49","±12","±21","±313"
"Block Group 5, Census Tract 613, Pierce County, Washington","","","","","","","",""
"    Estimate","749","154","23","0","135","27","38","372"
"    Margin of Error","±243","±102","±24","±12","±174","±28","±43","±153"
"Block Group 6, Census Tract 613, Pierce County, Washington","","","","","","","",""
"    Estimate","898","59","79","44","60","25","52","579"
"    Margin of Error","±270","±52","±81","±36","±65","±31","±84","±283"
"Block Group 1, Census Tract 614, Pierce County, Washington","","","","","","","",""
"    Estimate","955","358","159","81","78","26","0","253"
"    Margin of Error","±224","±173","±80","±65","±93","±32","±12","±165"
"Block Group 2, Census Tract 614, Pierce County, Washington","","","","","","","",""
"    Estimate","553","76","102","125","140","6","0","104"
"    Margin of Error","±176","±77","±69","±87","±156","±9","±12","±56"
"Block Group 3, Census Tract 614, Pierce County, Washington","","","","","","","",""
"    Estimate","1,143","174","208","117","64","207","28","345"
"    Margin of Error","±209","±116","±122","±132","±49","±119","±48","±164"
"Block Group 1, Census Tract 615, Pierce County, Washington","","","","","","","",""
"    Estimate","1,555","59","171","111","78","118","36","982"
"    Margin of Error","±263","±48","±137","±85","±80","±83","±63","±184"
"Block Group 2, Census Tract 615, Pierce County, Washington","","","","","","","",""
"    Estimate","1,539","146","294","89","260","26","11","713"
"    Margin of Error","±335","±111","±180","±58","±281","±40","±18","±231"
"Block Group 3, Census Tract 615, Pierce County, Washington","","","","","","","",""
"    Estimate","863","60","235","40","62","13","0","453"
"    Margin of Error","±236","±46","±192","±46","±61","±20","±12","±172"
"Block Group 4, Census Tract 615, Pierce County, Washington","","","","","","","",""
"    Estimate","920","147","110","9","24","73","0","557"
"    Margin of Error","±351","±101","±107","±14","±23","±119","±12","±274"
"Block Group 1, Census Tract 616.01, Pierce County, Washington","","","","","","","",""
"    Estimate","1,875","402","414","100","141","83","7","728"
"    Margin of Error","±201","±190","±120","±58","±85","±61","±12","±160"
"Block Group 1, Census Tract 616.02, Pierce County, Washington","","","","","","","",""
"    Estimate","841","61","117","55","0","62","0","546"
"    Margin of Error","±122","±43","±55","±63","±12","±73","±12","±96"
"Block Group 1, Census Tract 617, Pierce County, Washington","","","","","","","",""
"    Estimate","955","202","134","28","21","123","0","447"
"    Margin of Error","±260","±131","±104","±39","±31","±199","±12","±129"
"Block Group 2, Census Tract 617, Pierce County, Washington","","","","","","","",""
"    Estimate","800","384","39","6","0","0","0","371"
"    Margin of Error","±450","±382","±55","±10","±12","±12","±12","±156"
"Block Group 3, Census Tract 617, Pierce County, Washington","","","","","","","",""
"    Estimate","907","102","9","41","0","57","18","680"
"    Margin of Error","±300","±93","±16","±55","±12","±86","±28","±283"
"Block Group 4, Census Tract 617, Pierce County, Washington","","","","","","","",""
"    Estimate","496","50","26","25","24","0","0","371"
"    Margin of Error","±224","±57","±34","±27","±55","±12","±12","±172"
"Block Group 5, Census Tract 617, Pierce County, Washington","","","","","","","",""
"    Estimate","939","179","57","0","5","92","12","594"
"    Margin of Error","±252","±143","±65","±12","±10","±92","±21","±198"
"Block Group 1, Census Tract 618, Pierce County, Washington","","","","","","","",""
